,NOM_COMUNA,AREA_KM2,SUPERFICIE AREAS VERDES,prekinder niños,prekinder niñas,prekinder total,kinder niños,kinder niñas,kinder total,1 basico niños,1 basico niñas,1 basico total,5 basico niños,5 basico niñas,5 basico total,1 medio niños,1 medio niñas,1 medio total,TOTAL TRANSFERIDO 2018,Ratio areas verdes
10,LA PINTANA,30.451340172711213,603594.7986803169,0.276268115942029,0.22420634920634921,0.25142045454545453,0.2916321458160729,0.24361493123772102,0.2696629213483146,0.2929460580912863,0.2153153153153153,0.2557235421166307,0.3607266435986159,0.19124218051831993,0.2773626373626374,0.18930041152263374,0.1751412429378531,0.18232428670842032,18.495.044,19821.616889664016
11,LA CISTERNA,9.979139210574003,160366.73627516197,0.26024096385542167,0.16926503340757237,0.21296296296296297,0.20632279534109818,0.1335559265442404,0.17,0.2381615598885794,0.19106317411402157,0.21580102414045355,0.30793650793650795,0.1744,0.24143426294820716,0.16913687881429817,0.11436950146627566,0.14331797235023042,13.821.453,16070.19732776507
12,SAN RAMÓN,6.277111628453557,381225.158622718,0.3314447592067989,0.24709302325581395,0.2898134863701578,0.33260869565217394,0.25874125874125875,0.296962879640045,0.2768670309653916,0.24346076458752516,0.2609942638623327,0.3344947735191638,0.25311203319502074,0.29734848484848486,0.15714285714285714,0.11782477341389729,0.13803230543318648,22.620.573,60732.57593423386
13,LA FLORIDA,70.82265573964403,1309569.69917279,0.23349217154526888,0.20330459770114942,0.21880461377140858,0.21414441147378832,0.18191433104177684,0.19856887298747763,0.2567316620241411,0.18181818181818182,0.22137778867369454,0.28434197886647455,0.16166166166166165,0.22426470588235295,0.11639081687132942,0.10400444938820912,0.11032416235358213,19.414.700,18490.830165801573
14,LA GRANJA,10.089198948024059,816668.2828766588,0.2664714494875549,0.23644578313253012,0.2516703786191537,0.2961487383798141,0.24814264487369986,0.27349228611500703,0.25285714285714284,0.1855388813096862,0.2184228890439637,0.3069620253164557,0.18035426731078905,0.24421388667198723,0.12830188679245283,0.12195121951219512,0.125,18.851.035,80944.80910564272
15,LA REINA,23.438091971751252,1344091.6550144083,0.24489795918367346,0.20408163265306123,0.22634508348794063,0.23659305993690852,0.2057142857142857,0.22038980509745126,0.2371638141809291,0.1876750700280112,0.21409921671018275,0.3445378151260504,0.20113314447592068,0.27323943661971833,0.13008130081300814,0.12323943661971831,0.12641509433962264,12.909.497,57346.46218789371
16,ÑUÑOA,16.85680119279387,462579.3403797719,0.15384615384615385,0.1163895486935867,0.1344019728729963,0.21511627906976744,0.16382252559726962,0.18784029038112524,0.20224719101123595,0.1849912739965096,0.1933152664859982,0.24948453608247423,0.1575875486381323,0.2022022022022022,0.14716703458425312,0.11322132943754565,0.13013196480938416,13.421.927,27441.703505260557
17,MACUL,12.842275206132964,404010.08193457907,0.21678321678321677,0.18289085545722714,0.20182291666666666,0.2713178294573643,0.16876574307304787,0.2267250821467689,0.2448210922787194,0.22081218274111675,0.23459459459459459,0.3058161350844278,0.1547911547911548,0.2404255319148936,0.1392757660167131,0.1391304347826087,0.13921901528013583,14.454.421,31459.385151755647
18,SAN JOAQUÍN,9.94226127159806,393766.6581808601,0.2737430167597765,0.23943661971830985,0.25666199158485276,0.3128205128205128,0.24489795918367346,0.27877237851662406,0.2248062015503876,0.15803108808290156,0.19146183699870634,0.34554973821989526,0.2356164383561644,0.2918340026773762,0.21649484536082475,0.14285714285714285,0.1951219512195122,17.206.157,39605.34202674081
19,INDEPENDENCIA,7.355459961059372,156989.89471454098,0.17037037037037037,0.14805194805194805,0.15949367088607594,0.20499108734402852,0.22684310018903592,0.21559633027522937,0.22698412698412698,0.19065420560747665,0.21030042918454936,0.28308823529411764,0.17425742574257425,0.23069590085795996,0.1519230769230769,0.125,0.13846153846153847,13.691.602,21343.314428419573
20,RECOLETA,15.784667161507151,2870269.4301780546,0.24834874504623514,0.21251629726205998,0.23031496062992127,0.2171837708830549,0.17570754716981132,0.1963226571767497,0.24148936170212765,0.2052689352360044,0.22366288492706646,0.32790697674418606,0.21352313167259787,0.27128596594245447,0.1636904761904762,0.14818880351262348,0.1563314226159458,17.786.739,181839.08477826882
21,CONCHALÍ,11.109763109854901,413948.9968775982,0.23154848046309695,0.2265625,0.22915101427498122,0.24785100286532952,0.21758569299552907,0.23301680058436816,0.2393617021276596,0.19326500732064422,0.21742160278745645,0.25968436154949787,0.18110236220472442,0.2222222222222222,0.18529411764705883,0.12014134275618374,0.15569823434991975,17.534.386,37259.93009791589
22,RENCA,23.75544224352755,585385.9961223212,0.2259810554803789,0.23609226594301222,0.231029810298103,0.28722157092614303,0.23296703296703297,0.25921724333522406,0.26059979317476734,0.21837837837837837,0.23995771670190275,0.3520097442143727,0.21723300970873785,0.2844984802431611,0.15286624203821655,0.14553314121037464,0.14942528735632185,17.660.307,24642.18473060911
23,CERRO NAVIA,11.09735901890906,794296.5423388082,0.23529411764705882,0.21415607985480944,0.225130890052356,0.25386996904024767,0.20579268292682926,0.22964669738863286,0.2956989247311828,0.21026490066225165,0.25741839762611274,0.3459715639810427,0.2600671140939597,0.30431244914564687,0.1718213058419244,0.1792452830188679,0.1749502982107356,20.518.361,71575.27669289485
24,QUINTA NORMAL,11.817300892511422,386185.336343087,0.21972534332084895,0.16689655172413792,0.1946264744429882,0.2650887573964497,0.19320843091334894,0.22895821071218364,0.2359952324195471,0.18204488778054864,0.2096282754418038,0.35405405405405405,0.208731241473397,0.2817379497623897,0.17266187050359713,0.15172413793103448,0.1648422408242112,18.182.652,32679.656704671976
